,review
95,기존의 매장이 없어지고 새로 생기고는 처음 갔는데요 고깃집의 점심메뉴로 갈비탕 있어서 먹었어요 시청쪽 갈비탕 가격은 비슷하고 갈비도 넉넉히 있는데 저는 조금 질기고 그리고 고기가 잡내가 나서..국물은 좋았어요..반찬도 종류가 많고 정갈한데요 간이 쎌수 있어요 그치만 같이 먹은 동료는 나쁘지 않았다고 하니깐 케이스바이 케이스인듯요
96,돼지갈비 맛있게 먹었어요. 친절하고. 재방문 의사 충분히 있습니다.
97,고기 너무 맛있게 구워주시고 너무 맛있어요
98,안정된 편안함이 느껴지는 친절한 서비스가 좋아요자극적이지 않고 맛도 있어요
99,"직장동료와 점심 먹으러 왓슴  오미자하이볼 강추 갈비 맛집,비냉맛집~^^"
100,"홍벽갈비 맛있고 밑반찬도 깔끔, 특히 소고기무국과동치미가 좋다. 하이볼 추천. 직원들 서비스는 사람마다 차이가 남"
101,부부동반 모임으로 방문했는데 분위기도 고급스럽고 소갈비 정말 부드러워요~♡♡♡모임장소로 완전 강추합니다
102,한달에 한 번 월가갈비 꼭 방문하는데 와인이 있는걸 몰랐다가 분위기낼 겸 주문했는데 너무 맛있게먹고 가서 추천 드릴려고 리뷰 남깁니다!!
103,직원이 고기를 구워주시는데 편하네요. 대표메뉴 홍벽갈비+벽돌 갈비는 그냥 그랬어요. 고기는 부드러웠는데.. 힘줄부위만 골라 먹어서 그랬는지.. 먹다가 뱉은게 더 많았고 양념갈비랑 볶음밥 시켜먹은게 제일 맛있었네요. 고급스러운 고깃집 분위기지만 옆테이블 간격이 붙어있어서 옆손님들이랑 눈이 잘 마주침. 사진과 같이 고기랑 어울려 먹을 수 있는 반찬 세팅이 잘 되어있어 부족함은 없었습니다~ 
104,저희 회사 11명이라 단체 가능한곳으로 알아보고 갔는데 고기질도 좋고 잘구워주셔서 편히 잘먹고왔습니다.
105,고기도 맛있고 직원분들이 너무 친절하세요매장도 넓어서 회식하기도 좋은거같아요
106,"별도 룸이 아니라 좀 아쉬웠지만, 접근성 좋은 위치도 좋았고, 매장 내부도 깔끔했어요.고기도 맛있었습니다.재방문 의사 있어요."
107,고기가 입에서 녹네요 좋은시간 보내고 왔습니다. 맛있게 잘 먹었습니다.
108,고기 질이 너무 좋고 매장도 쾌적해요!!! 직원분들도 친절하셔서 기분 좋게 부모님이랑 맛있게 먹고 가요 ♥️ 반찬 구성도 푸짐해요 ✨✨강츄합니당
109,고기 맛있고 곁들임으로 나오는 반찬도 엄청 맛나네요 오랜만에 친구들 모임장소로 예약했는데 다들 만족하네요..
110,고기 질 좋고 완전 맛있어요!!!
111,"벽돌갈비와 핑크솔트, 그리고 오미자 하이볼.. 입에서 샤르르 녹는다는게 이런것!진짜 반백살 넘어 첨 먹는 맛입니다.외국인 손님 접대가 필요하신분! 요기로 오세용"
112,"가족들과 갔는데 아이에게 친절하고 깨끗합니다아기의자도 있고 식기도 있어요고기도 맛있었습니다소고기는 구워주시는데, 돼지고기는 직접 구워야해요"
113,음식이 맛있어요 식당도 깔끔하고 깨끗합니다
